Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_Medium_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
2000,27.72907608695652,2266.1,100302350.6,265647.46,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1021721.0,False,1.687727273
2001,27.75952173913044,1677.9,113144924.8,288041.52,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1107852.0,False,1.820454545
2002,28.03126086956522,1325.7999999999995,76045949.58,200818.5,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,803274.0,False,1.455238095
2003,28.460304347826085,1910.8,82835570.16,200854.08,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,836892.0,False,2.137619048
2005,28.06011956521739,2050.8,123832869.7,216852.09,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1032629.0,False,1.727272727
2006,28.76501086956522,1971.0,124109344.3,213797.32,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,971806.0,False,2.080952381
2008,28.817478260869567,1965.8,200098656.0,125901.0,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1398900.0,False,2.456363636
2009,28.937521739130435,1461.5,228591835.5,249394.25,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1467025.0,False,2.209090909
2010,27.977663043478262,2608.3,296379608.1,428216.88,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1784237.0,False,1.980454545
2011,27.69583695652173,1722.1,345593592.5,680789.67,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,2062999.0,False,1.548181818
2012,28.328913043478263,2018.2,362221600.0,744620.0,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,2402000.0,False,2.440454545
2013,28.44332608695652,2047.2,97019110.91,181293.93,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,671459.0,False,2.623846154
2013,27.014550724637683,106.8,744845.95,1391.85,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,5155.0,True,2.531666667
2014,28.74739130434783,1411.6,123010510.8,268902.15,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,814855.0,False,3.026153846
2014,26.80463768115942,85.5,939273.12,2053.26,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,6222.0,True,2.897142857
2015,28.68826086956522,1859.7,104642377.6,218681.43,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,662671.0,False,2.519230769
2015,26.92608695652174,83.9,535946.54,1120.02,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,3394.0,True,2.23
2016,28.707391304347823,1961.1,71021720.25,162202.95,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,463437.0,False,2.633076923
2016,27.209130434782608,27.700000000000003,1240099.0,2832.2,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,8092.0,True,2.201428571
2017,28.681304347826085,1841.0,101382228.5,244697.96,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,643942.0,False,2.660769231
2017,26.97188405797101,38.8,330151.68,796.86,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,2097.0,True,2.116
2018,28.38086956521739,1841.0,100056314.0,215904.5,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,616870.0,False,2.386153846
2018,26.912173913043475,38.8,552128.8,1191.4,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,3404.0,True,2.251666667
2019,28.695652173913043,1841.0,112322967.3,241962.61,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,653953.0,False,0.543846154
2019,26.943188405797105,38.8,596694.24,1285.38,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,3474.0,True,3.305
1997,28.508206521739133,1631.1,86252571.0,280953.0,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,906300.0,False,1.643333333
1998,28.9921195652174,2317.2,126552920.0,371461.0,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1280900.0,False,1.093809524
2004,28.64654347826087,1420.1999999999998,127669914.5,247467.99,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1178419.0,False,1.901428571
2007,28.261532608695653,2337.6,151275600.0,181440.0,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1134000.0,False,2.668
2013,28.44332608695652,2047.2000000000005,247486806.7,462464.1,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1712830.0,False,2.458888889
2014,28.74739130434783,1411.6,251035158.0,548765.25,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1662925.0,False,2.068888889
2015,28.68826086956522,1859.7,280014855.0,585174.48,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1773256.0,False,1.973333333
2016,28.707391304347823,1961.1,215892470.0,493066.0,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1408760.0,False,2.445666667
2017,28.681304347826085,1841.0,298662577.9,720857.34,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1896993.0,False,2.856333333
2018,28.380869565217395,1841.0,298405017.0,643907.25,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1839735.0,False,2.184375
2019,28.695652173913043,1841.0,365268423.0,786849.77,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,2126621.0,False,3.2490625
1999,28.08171739130435,1538.9,110980565.5,282340.08,3.74,23.8,72.47,32.59,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,1045704.0,False,1.458181818
