Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_Medium_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
1998,21.69436842105263,84.1,35258953.6,103492.88,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,356872.0,True,0.568421053
1999,22.332836257309943,53.3,10655982.65,27109.35,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,100405.0,True,0.399473684
2000,20.876166666666663,58.9,12225699.12,32379.36,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,124536.0,True,0.648947368
2001,21.29654970760234,16.3,14551073.88,37043.76,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,142476.0,True,0.587894737
2002,21.03970760233918,15.8,5174472.86,13664.5,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,54658.0,True,0.577894737
2003,21.112587719298244,86.4,12159198.1,29482.8,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,122845.0,True,0.623684211
2004,21.639365497076025,38.1,11692052.8,22663.2,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,107920.0,True,0.721052632
2005,21.56544736842105,124.7,15563457.44,27254.22,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,129782.0,True,0.48
2006,21.34104678362573,64.8,13748747.76,23684.32,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,107656.0,True,0.475
2007,21.33459064327485,118.2,14318889.2,17174.08,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,107338.0,True,0.3785
2008,20.0906783625731,16.1,17674451.52,11120.67,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,123563.0,True,0.617
2009,21.27333625730994,34.3,13093710.42,14285.27,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,84031.0,True,0.4295
2010,22.151619883040933,19.5,18524753.31,26765.04,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,111521.0,True,0.515714286
2011,21.87473976608187,47.3,13214312.64,26031.06,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,78882.0,True,0.537777778
2012,21.81751169590644,67.7,7092576.4,14580.23,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,47033.0,True,0.496842105
2013,22.091932748538014,71.0,11992670.0,22410.0,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,83000.0,True,0.957142857
2014,21.76701754385965,72.2,9661440.0,21120.0,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,64000.0,True,0.695
2015,21.45771929824561,117.5,6632220.0,13860.0,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,42000.0,True,0.7025
2016,21.73456140350877,47.1,5654925.0,12915.0,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,36900.0,True,1.24
2017,21.95421052631579,59.9,5053824.0,12198.0,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,32100.0,True,1.284615385
2018,21.93859649122807,59.9,7282780.0,15715.0,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,44900.0,True,1.510769231
2019,21.80736842105264,59.9,7552287.2,16268.9,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,43970.0,True,1.168888889
1997,30.722315789473686,485.2,5615030.0,18290.0,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,59000.0,False,0.76
1997,20.841573099415204,28.8,28075150.0,91450.0,7.71,35.79,25.9,48.71,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,295000.0,True,0.891538462
