Year,Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Yield (t/ha)
1998,725.0,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,0.99
1999,270.0,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,1.07
2000,130.0,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,1.0
2001,81.9,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,1.0
2002,88.25,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,0.85
2003,105.36,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,0.9
2013,4.86,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,1.015
2014,5.115,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,0.725
1997,48546.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,0.969090909
1998,45530.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1.03
1999,41958.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1.087272727
2000,40274.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,0.881666667
2001,39182.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1.223333333
2002,36475.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,0.88
2003,35256.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1.2225
2004,30366.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1.013333333
2005,28518.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,0.939166667
2006,29920.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,0.89
2007,20528.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,0.941818182
2008,11295.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,0.921666667
2009,20434.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,0.85
2010,28800.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1.044166667
2011,42999.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1.037272727
2012,38595.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1.117
2013,33615.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1.244
2014,36828.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1.091818182
2015,30261.0,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,0.895
2016,32488.75,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1.089285714
2017,35270.46,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1.120833333
2018,28103.95,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1.000833333
2019,30423.25,2.47,14.97,82.56,26.32,54.15,19.53,67.21,28.5,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,1.009411765
2004,82.74,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,0.97
2005,92.61,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,1.045
2006,61.6,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,0.91
2007,25.92,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,0.995
1997,868.0,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,0.87
2008,14.22,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,1.15
2009,26.18,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,1.03
2010,36.0,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,0.9
2011,49.5,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,0.93
2012,14.88,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,1.1
