Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_Low_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,27.36328571428572,2066.5,50002318.0,162874.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,525400.0,0.489310345
1998,28.32134821428572,2708.5,52512200.0,154135.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,531500.0,0.601724138
1999,27.42448214285714,2370.7000000000003,58265370.0,148230.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,549000.0,0.554848485
2000,26.7890625,2296.4,56349580.0,149240.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,574000.0,0.461818182
2001,26.55274107142857,2117.9,60021801.0,152802.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,587700.0,0.543636364
2002,27.221714285714285,2181.1,59982912.0,158400.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,633600.0,0.583333333
2003,27.86675,2327.3,59457286.0,144168.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,600700.0,0.595757576
2004,27.609267857142857,2144.3,57474370.0,111405.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,530500.0,0.522121212
2005,26.54633928571429,2978.6,56170528.0,98364.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,468400.0,0.526363636
2006,28.352107142857143,3095.0,62577900.0,107800.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,490000.0,0.542424242
2007,27.74430357142857,2849.2,75210920.0,90208.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,563800.0,0.594242424
2008,27.217419642857145,2241.8,46330656.0,29151.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,323900.0,0.461515152
2009,28.146830357142857,1893.9,55082370.0,60095.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,353500.0,0.500606061
2010,26.76499107142857,2984.5,80015187.0,115608.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,481700.0,0.713636364
2011,27.068401785714286,2287.8,60960528.0,120087.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,363900.0,0.616060606
2012,27.12486607142857,2104.5,54333240.0,111693.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,360300.0,0.5715625
2013,27.08704464285714,2986.8,48317456.0,90288.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,334400.0,0.555483871
2014,27.799642857142857,1898.9,41740440.0,91245.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,276500.0,0.408787879
2015,27.679285714285715,1762.9,45146469.0,94347.0,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,285900.0,0.323939394
2016,27.69464285714286,2695.1,51789918.0,118280.4,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,337944.0,0.577878788
2017,27.679642857142856,2225.9,55194842.88,133219.26,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,350577.0,0.3765625
2018,27.225357142857145,2225.9,59464790.8,128314.9,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,366614.0,0.41137931
2019,27.68642857142857,2225.9,58489261.04,125995.73,2.47,82.56,19.53,4.29,21.86,23.29,54.85,2.95,1.52,95.53,99.13,0.87,47.35,52.65,42.3,57.7,48.86,51.14,54.56,45.44,340529.0,0.45625
